scorer,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170,DLC_DlcrnetStride16Ms5_NPX_VTAOct7shuffle3_snapshot_170
individuals,resident,resident,resident,resident,resident,resident,resident,resident,resident,resident,resident,resident,resident,resident,resident,resident,resident,resident,resident,resident,resident,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder,intruder
bodyparts,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,neck,neck,neck,left_hip,left_hip,left_hip,right_hip,right_hip,right_hip,tail,tail,tail,nose,nose,nose,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,neck,neck,neck,left_hip,left_hip,left_hip,right_hip,right_hip,right_hip,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,326.8789978027344,678.530029296875,0.9990000128746033,309.73199462890625,723.68798828125,0.9980000257492065,345.9280090332031,716.7410278320312,0.996999979019165,329.40899658203125,735.2219848632812,0.9950000047683716,321.34600830078125,778.60498046875,0.9959999918937683,369.89300537109375,756.1719970703125,0.9940000176429749,356.4639892578125,796.9990234375,0.9900000095367432,824.3889770507812,174.5959930419922,0.9990000128746033,841.2059936523438,202.6320037841797,0.9959999918937683,861.5399780273438,183.80799865722656,0.9980000257492065,866.2880249023438,204.6699981689453,0.9940000176429749,879.2039794921875,244.57200622558594,0.996999979019165,909.531005859375,222.27999877929688,0.996999979019165,910.0040283203125,250.41900634765625,0.9980000257492065
1,327.0050048828125,678.5479736328125,0.9990000128746033,309.73199462890625,723.77099609375,0.9980000257492065,345.9280090332031,716.7410278320312,0.996999979019165,329.468994140625,735.2780151367188,0.9950000047683716,321.34600830078125,778.6950073242188,0.9959999918937683,369.89300537109375,756.06201171875,0.9940000176429749,356.5889892578125,796.9990234375,0.9909999966621399,824.3800048828125,174.6300048828125,0.9990000128746033,841.2680053710938,202.6320037841797,0.9959999918937683,861.5880126953125,183.80599975585938,0.9980000257492065,866.3400268554688,204.656005859375,0.9940000176429749,879.2039794921875,244.5850067138672,0.996999979019165,909.531005859375,222.35400390625,0.996999979019165,909.9959716796875,250.41900634765625,0.9980000257492065
2,327.0050048828125,678.5780029296875,0.9990000128746033,309.8420104980469,723.7130126953125,0.9980000257492065,345.885986328125,716.7410278320312,0.996999979019165,329.468994140625,735.426025390625,0.9950000047683716,321.3479919433594,778.7509765625,0.9959999918937683,369.8710021972656,756.0260009765625,0.9940000176429749,356.6099853515625,796.9869995117188,0.9900000095367432,824.3800048828125,174.63800048828125,0.9990000128746033,841.2680053710938,202.6320037841797,0.9959999918937683,861.6939697265625,183.80599975585938,0.9980000257492065,866.344970703125,204.6529998779297,0.9940000176429749,879.2039794921875,244.5850067138672,0.996999979019165,909.5289916992188,222.35400390625,0.996999979019165,909.9949951171875,250.41900634765625,0.9980000257492065
3,327.0220031738281,678.60498046875,0.9990000128746033,309.8070068359375,723.7130126953125,0.9980000257492065,345.4859924316406,716.3820190429688,0.996999979019165,329.468994140625,735.426025390625,0.9950000047683716,321.3479919433594,778.7509765625,0.9959999918937683,369.8479919433594,756.0180053710938,0.9940000176429749,356.62298583984375,796.9869995117188,0.9900000095367432,824.3790283203125,174.63999938964844,0.9990000128746033,841.2760009765625,202.6320037841797,0.9959999918937683,861.7030029296875,183.80599975585938,0.9980000257492065,866.39501953125,204.64599609375,0.9940000176429749,879.1959838867188,244.58799743652344,0.996999979019165,909.5289916992188,222.35400390625,0.996999979019165,909.9949951171875,250.40699768066406,0.9980000257492065
4,327.1099853515625,678.60498046875,0.9990000128746033,309.8070068359375,723.7130126953125,0.9980000257492065,345.47601318359375,716.364013671875,0.996999979019165,329.35400390625,735.426025390625,0.9950000047683716,321.3479919433594,778.7509765625,0.9959999918937683,369.8479919433594,756.0180053710938,0.9940000176429749,356.62298583984375,796.9940185546875,0.9900000095367432,824.3770141601562,174.65899658203125,0.9990000128746033,841.2680053710938,202.59500122070312,0.9959999918937683,861.7069702148438,183.80599975585938,0.9980000257492065,866.3989868164062,204.63400268554688,0.9940000176429749,879.1489868164062,244.58799743652344,0.996999979019165,909.5139770507812,222.31199645996094,0.996999979019165,909.9959716796875,250.4080047607422,0.9980000257492065
5,327.18798828125,678.6300048828125,0.9990000128746033,309.8070068359375,723.6820068359375,0.9980000257492065,345.4630126953125,716.364013671875,0.996999979019165,329.343994140625,735.3309936523438,0.9950000047683716,321.3110046386719,778.6259765625,0.9959999918937683,369.375,755.97998046875,0.9940000176429749,356.62298583984375,796.9990234375,0.9900000095367432,824.3729858398438,174.66000366210938,0.9990000128746033,841.2670288085938,202.59500122070312,0.9959999918937683,861.7639770507812,183.79100036621094,0.9980000257492065,866.4609985351562,204.60000610351562,0.9940000176429749,879.1309814453125,244.58799743652344,0.996999979019165,909.510009765625,222.30599975585938,0.996999979019165,910.0130004882812,250.4080047607422,0.9980000257492065
6,327.18798828125,678.708984375,0.9990000128746033,309.8070068359375,723.6339721679688,0.9980000257492065,345.4630126953125,716.3820190429688,0.996999979019165,329.3299865722656,735.2210083007812,0.9950000047683716,321.2980041503906,778.5250244140625,0.9959999918937683,369.375,755.97998046875,0.9940000176429749,356.6029968261719,797.0040283203125,0.9900000095367432,824.3720092773438,174.67599487304688,0.9990000128746033,841.2659912109375,202.59100341796875,0.9959999918937683,861.7639770507812,183.77000427246094,0.9980000257492065,866.4739990234375,204.59300231933594,0.9940000176429749,879.1309814453125,244.58799743652344,0.9980000257492065,909.4959716796875,222.302001953125,0.996999979019165,910.0139770507812,250.3979949951172,0.9980000257492065
